Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,1,D,57,0,0.000443822000306682,2,2.0019354039996,Agent,1,passive,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_57.jpg,Agent_passive_57.jpg
2,FED_20161228b_3T2,1,D,42,2,2.00299077100135,2,2.00003723599912,Agent,1,passive,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_42.jpg,Agent_passive_42.jpg
3,FED_20161228b_3T2,1,D,41,4,4.00367506000111,2,1.99916032699912,Agent,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Agent_passive_41.jpg
4,FED_20161228b_3T2,1,D,50,6,6.00350786800118,2,1.99861149499884,Agent,1,passive,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_50.jpg,Agent_passive_50.jpg
5,FED_20161228b_3T2,1,D,58,8,8.00275330099976,2,1.9998769520007,Agent,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Agent_passive_58.jpg
6,FED_20161228b_3T2,1,D,47,10,10.0032158049999,2,1.99894320300155,Agent,0,active,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_47.jpg,Agent_active_47.jpg
,FED_20161228b_3T2,1,D,NA,12,12.0028131520012,4,3.99860732999878,0,NA,,NA,NA,NA,NA,NA,,
7,FED_20161228b_3T2,1,D,15,16,16.0021879750002,2,2.0015031260009,Agent,1,passive,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_15.jpg,Agent_passive_15.jpg
8,FED_20161228b_3T2,1,D,18,18,18.0042439139997,2,1.99961530400105,Patient,1,passive,Melissa Oval is being stopped by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_18.jpg,Patient_passive_18.jpg
9,FED_20161228b_3T2,1,D,51,20,20.0045038380013,2,1.99776288099929,Agent,0,active,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star,Base_active_51.jpg,Agent_active_51.jpg
,FED_20161228b_3T2,1,D,NA,22,22.0029896579999,4,3.99839779400099,0,NA,,NA,NA,NA,NA,NA,,
10,FED_20161228b_3T2,1,D,59,26,26.0021351440009,2,2.0011574830005,Agent,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Agent_passive_59.jpg
11,FED_20161228b_3T2,1,D,16,28,28.003902208,2,1.99865242800115,Patient,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Patient_passive_16.jpg
12,FED_20161228b_3T2,1,D,25,30,30.003315244001,2,2.00004429999899,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg
13,FED_20161228b_3T2,1,D,54,32,32.0039817270008,2,1.99908223599959,Agent,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Agent_passive_54.jpg
14,FED_20161228b_3T2,1,D,34,34,34.003658560001,2,1.99897815499935,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg
,FED_20161228b_3T2,1,D,NA,36,36.0032489460009,2,1.99858163699901,0,NA,,NA,NA,NA,NA,NA,,
15,FED_20161228b_3T2,1,D,31,38,38.0024329120006,2,2.00081911099915,Patient,0,active,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square,Base_active_31.jpg,Patient_active_31.jpg
16,FED_20161228b_3T2,1,D,18,40,40.0038321210013,2,1.9985625219997,Agent,1,passive,Melissa Oval is being stopped by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_18.jpg,Agent_passive_18.jpg
17,FED_20161228b_3T2,1,D,56,42,42.0031228839998,2,2.00105801100108,Agent,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Agent_active_56.jpg
,FED_20161228b_3T2,1,D,NA,44,44.0048878630005,2,1.99756832000094,0,NA,,NA,NA,NA,NA,NA,,
18,FED_20161228b_3T2,1,D,48,46,46.0031918900004,2,1.99925309699938,Patient,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Patient_active_48.jpg
19,FED_20161228b_3T2,1,D,2,48,48.0031145829998,2,2.00009273600153,Agent,1,passive,Zach Star is being stopped by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_2.jpg,Agent_passive_2.jpg
,FED_20161228b_3T2,1,D,NA,50,50.0038118909997,4,3.99787740600004,0,NA,,NA,NA,NA,NA,NA,,
20,FED_20161228b_3T2,1,D,5,54,54.0022368720001,2,2.00162809300127,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg
,FED_20161228b_3T2,1,D,NA,56,56.004487518001,2,1.9970401899991,0,NA,,NA,NA,NA,NA,NA,,
21,FED_20161228b_3T2,1,D,4,58,58.0021044309997,2,2.00096298100107,Patient,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Patient_active_4.jpg
,FED_20161228b_3T2,1,D,NA,60,60.0037853510003,2,1.9984173619996,0,NA,,NA,NA,NA,NA,NA,,
