trial_type,measured_onset,perfect_onset,trialnum
fix,25345.966693,25355.466693, 
realTrial,25365.283504,25361.966693, 1
realTrial,25368.797355,25368.466693, 2
realTrial,25375.097350,25374.966693, 3
realTrial,25381.603841,25381.466693, 4
realTrial,25388.104120,25387.966693, 5
realTrial,25394.603396,25394.466693, 6
realTrial,25401.100213,25400.966693, 7
realTrial,25407.602593,25407.466693, 8
realTrial,25414.104257,25413.966693, 9
realTrial,25420.600063,25420.466693, 10
realTrial,25427.102289,25426.966693, 11
realTrial,25433.603476,25433.466693, 12
realTrial,25440.099881,25439.966693, 13
realTrial,25446.596606,25446.466693, 14
realTrial,25453.096740,25452.966693, 15
realTrial,25459.596721,25459.466693, 16
realTrial,25466.099782,25465.966693, 17
realTrial,25472.604880,25472.466693, 18
realTrial,25479.102838,25478.966693, 19
realTrial,25485.595336,25485.466693, 20
realTrial,25492.100693,25491.966693, 21
realTrial,25498.596174,25498.466693, 22
realTrial,25505.104967,25504.966693, 23
realTrial,25511.603834,25511.466693, 24
fix,25517.967018,25517.966693, 
realTrial,25534.195584,25533.966693, 25
realTrial,25540.615423,25540.466693, 26
realTrial,25547.100588,25546.966693, 27
realTrial,25553.603951,25553.466693, 28
realTrial,25560.102291,25559.966693, 29
realTrial,25566.604493,25566.466693, 30
realTrial,25573.095346,25572.966693, 31
realTrial,25579.604650,25579.466693, 32
realTrial,25586.103272,25585.966693, 33
realTrial,25592.596215,25592.466693, 34
realTrial,25599.095757,25598.966693, 35
realTrial,25605.596319,25605.466693, 36
realTrial,25612.103466,25611.966693, 37
realTrial,25618.602600,25618.466693, 38
realTrial,25625.095781,25624.966693, 39
realTrial,25631.596345,25631.466693, 40
realTrial,25638.097703,25637.966693, 41
realTrial,25644.604309,25644.466693, 42
realTrial,25651.095694,25650.966693, 43
realTrial,25657.601952,25657.466693, 44
realTrial,25664.103355,25663.966693, 45
realTrial,25670.596142,25670.466693, 46
realTrial,25677.099781,25676.966693, 47
realTrial,25683.604687,25683.466693, 48
fix,25689.967137,25689.966693, 
