file,manner,path,agent,itemset,blocktype,blocknum, trialnum
rotate_circle_8.mp4,rotate,circle,8,W,P,1, 1
sine_circle_1.mp4,sine,circle,1,W,P,1, 2
wheelie_circle_2.mp4,wheelie,circle,2,W,P,1, 3
rock_circle_3.mp4,rock,circle,3,W,P,1, 4
vibrate_behind_4.mp4,vibrate,behind,4,X,A,2, 5
bounce_past_4.mp4,bounce,past,4,X,A,2, 6
stopstart_underfar_4.mp4,stopstart,underfar,4,X,A,2, 7
halfrotate_under_4.mp4,halfrotate,under,4,X,A,2, 8
rotate_to_8.mp4,rotate,to,8,W,D,3, 9
sine_circle_2.mp4,sine,circle,2,W,D,3, 10
wheelie_tofar_1.mp4,wheelie,tofar,1,W,D,3, 11
rock_onto_3.mp4,rock,onto,3,W,D,3, 12
none_control6_6.mp4,none,control6,6,Z,C,4, 13
none_control8_7.mp4,none,control8,7,Z,C,4, 14
none_control5_4.mp4,none,control5,4,Z,C,4, 15
none_control7_5.mp4,none,control7,5,Z,C,4, 16
rock_onto_8.mp4,rock,onto,8,W,S,5, 17
rock_onto_8.mp4,rock,onto,8,W,S,5, 18
rock_onto_8.mp4,rock,onto,8,W,S,5, 19
rock_onto_8.mp4,rock,onto,8,W,S,5, 20
bounce_past_5.mp4,bounce,past,5,X,M,6, 21
bounce_under_4.mp4,bounce,under,4,X,M,6, 22
bounce_behind_6.mp4,bounce,behind,6,X,M,6, 23
bounce_underfar_7.mp4,bounce,underfar,7,X,M,6, 24
sine_onto_2.mp4,sine,onto,2,W,M,7, 25
sine_to_1.mp4,sine,to,1,W,M,7, 26
sine_tofar_3.mp4,sine,tofar,3,W,M,7, 27
sine_circle_8.mp4,sine,circle,8,W,M,7, 28
vibrate_behind_7.mp4,vibrate,behind,7,X,S,8, 29
vibrate_behind_7.mp4,vibrate,behind,7,X,S,8, 30
vibrate_behind_7.mp4,vibrate,behind,7,X,S,8, 31
vibrate_behind_7.mp4,vibrate,behind,7,X,S,8, 32
none_control2_3.mp4,none,control2,3,Y,C,9, 33
none_control3_1.mp4,none,control3,1,Y,C,9, 34
none_control4_2.mp4,none,control4,2,Y,C,9, 35
none_control1_8.mp4,none,control1,8,Y,C,9, 36
halfrotate_past_6.mp4,halfrotate,past,6,X,D,10, 37
vibrate_underfar_4.mp4,vibrate,underfar,4,X,D,10, 38
stopstart_under_5.mp4,stopstart,under,5,X,D,10, 39
bounce_behind_7.mp4,bounce,behind,7,X,D,10, 40
rock_circle_1.mp4,rock,circle,1,W,A,11, 41
sine_tofar_1.mp4,sine,tofar,1,W,A,11, 42
wheelie_to_1.mp4,wheelie,to,1,W,A,11, 43
rotate_onto_1.mp4,rotate,onto,1,W,A,11, 44
vibrate_under_6.mp4,vibrate,under,6,X,P,12, 45
halfrotate_under_7.mp4,halfrotate,under,7,X,P,12, 46
bounce_under_5.mp4,bounce,under,5,X,P,12, 47
stopstart_under_4.mp4,stopstart,under,4,X,P,12, 48
