file,manner,path,agent,itemset,blocktype,blocknum, trialnum
rock_onto_8.mp4,rock,onto,8,W,A,1, 1
sine_to_8.mp4,sine,to,8,W,A,1, 2
wheelie_tofar_8.mp4,wheelie,tofar,8,W,A,1, 3
rotate_circle_8.mp4,rotate,circle,8,W,A,1, 4
halfrotate_past_5.mp4,halfrotate,past,5,X,D,2, 5
stopstart_underfar_4.mp4,stopstart,underfar,4,X,D,2, 6
bounce_under_7.mp4,bounce,under,7,X,D,2, 7
vibrate_behind_6.mp4,vibrate,behind,6,X,D,2, 8
none_control2_3.mp4,none,control2,3,Y,C,3, 9
none_control4_2.mp4,none,control4,2,Y,C,3, 10
none_control1_1.mp4,none,control1,1,Y,C,3, 11
none_control3_8.mp4,none,control3,8,Y,C,3, 12
bounce_behind_4.mp4,bounce,behind,4,X,S,4, 13
bounce_behind_4.mp4,bounce,behind,4,X,S,4, 14
bounce_behind_4.mp4,bounce,behind,4,X,S,4, 15
bounce_behind_4.mp4,bounce,behind,4,X,S,4, 16
rotate_tofar_8.mp4,rotate,tofar,8,W,M,5, 17
rotate_to_1.mp4,rotate,to,1,W,M,5, 18
rotate_circle_2.mp4,rotate,circle,2,W,M,5, 19
rotate_onto_3.mp4,rotate,onto,3,W,M,5, 20
bounce_under_6.mp4,bounce,under,6,X,P,6, 21
vibrate_under_4.mp4,vibrate,under,4,X,P,6, 22
stopstart_under_5.mp4,stopstart,under,5,X,P,6, 23
halfrotate_under_7.mp4,halfrotate,under,7,X,P,6, 24
wheelie_circle_8.mp4,wheelie,circle,8,W,P,7, 25
sine_circle_1.mp4,sine,circle,1,W,P,7, 26
rotate_circle_3.mp4,rotate,circle,3,W,P,7, 27
rock_circle_2.mp4,rock,circle,2,W,P,7, 28
stopstart_underfar_5.mp4,stopstart,underfar,5,X,M,8, 29
stopstart_past_4.mp4,stopstart,past,4,X,M,8, 30
stopstart_under_6.mp4,stopstart,under,6,X,M,8, 31
stopstart_behind_7.mp4,stopstart,behind,7,X,M,8, 32
rock_to_3.mp4,rock,to,3,W,S,9, 33
rock_to_3.mp4,rock,to,3,W,S,9, 34
rock_to_3.mp4,rock,to,3,W,S,9, 35
rock_to_3.mp4,rock,to,3,W,S,9, 36
none_control8_4.mp4,none,control8,4,Z,C,10, 37
none_control5_5.mp4,none,control5,5,Z,C,10, 38
none_control6_6.mp4,none,control6,6,Z,C,10, 39
none_control7_7.mp4,none,control7,7,Z,C,10, 40
wheelie_tofar_2.mp4,wheelie,tofar,2,W,D,11, 41
rotate_to_3.mp4,rotate,to,3,W,D,11, 42
rock_circle_1.mp4,rock,circle,1,W,D,11, 43
sine_onto_8.mp4,sine,onto,8,W,D,11, 44
bounce_behind_6.mp4,bounce,behind,6,X,A,12, 45
vibrate_under_6.mp4,vibrate,under,6,X,A,12, 46
stopstart_past_6.mp4,stopstart,past,6,X,A,12, 47
halfrotate_underfar_6.mp4,halfrotate,underfar,6,X,A,12, 48
