Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,2,B,52,0,0.000554175000615942,2,2.00183905999984,Patient,1,passive,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_52.jpg,Patient_passive_52.jpg
2,FED_20161228b_3T2,2,B,53,2,2.00299980599993,2,1.99941984200086,Agent,0,active,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_53.jpg,Agent_active_53.jpg
3,FED_20161228b_3T2,2,B,18,4,4.00303922400053,2,2.00007189400003,Patient,0,active,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_18.jpg,Patient_active_18.jpg
4,FED_20161228b_3T2,2,B,48,6,6.00370025100074,2,1.99861770200005,Agent,1,passive,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_48.jpg,Agent_passive_48.jpg
,FED_20161228b_3T2,2,B,NA,8,8.00291687800018,2,2.00029398100014,0,NA,,NA,NA,NA,NA,NA,,
5,FED_20161228b_3T2,2,B,39,10,10.0037431290002,2,1.99999151100019,Agent,1,passive,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_39.jpg,Agent_passive_39.jpg
6,FED_20161228b_3T2,2,B,11,12,12.004364202,2,1.99803685700044,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg
7,FED_20161228b_3T2,2,B,59,14,14.0029904250005,2,1.99943086999974,Agent,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Agent_passive_59.jpg
,FED_20161228b_3T2,2,B,NA,16,16.00298819,2,1.99885926100069,0,NA,,NA,NA,NA,NA,NA,,
8,FED_20161228b_3T2,2,B,23,18,18.0024118260008,2,1.99994818699997,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg
9,FED_20161228b_3T2,2,B,25,20,20.0029062060003,2,1.99989061100041,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg
10,FED_20161228b_3T2,2,B,21,22,22.003402202,2,1.99894053300068,Patient,0,active,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_21.jpg,Patient_active_21.jpg
11,FED_20161228b_3T2,2,B,33,24,24.0029332760005,2,1.99997615499979,Agent,0,active,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_33.jpg,Agent_active_33.jpg
12,FED_20161228b_3T2,2,B,23,26,26.0035174040004,2,1.99888892800027,Patient,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Patient_passive_23.jpg
13,FED_20161228b_3T2,2,B,28,28,28.0030713490005,2,1.99940241100012,Agent,1,passive,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_28.jpg,Agent_passive_28.jpg
14,FED_20161228b_3T2,2,B,26,30,30.0030535680007,2,1.99963829899934,Agent,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Agent_active_26.jpg
