file,manner,path,agent,itemset,blocktype,blocknum, trialnum
none_control1_2.mp4,none,control1,2,Y,C,1, 1
none_control4_3.mp4,none,control4,3,Y,C,1, 2
none_control2_1.mp4,none,control2,1,Y,C,1, 3
none_control3_8.mp4,none,control3,8,Y,C,1, 4
vibrate_underfar_7.mp4,vibrate,underfar,7,X,S,2, 5
vibrate_underfar_7.mp4,vibrate,underfar,7,X,S,2, 6
vibrate_underfar_7.mp4,vibrate,underfar,7,X,S,2, 7
vibrate_underfar_7.mp4,vibrate,underfar,7,X,S,2, 8
rotate_tofar_3.mp4,rotate,tofar,3,W,M,3, 9
rotate_to_8.mp4,rotate,to,8,W,M,3, 10
rotate_circle_1.mp4,rotate,circle,1,W,M,3, 11
rotate_onto_2.mp4,rotate,onto,2,W,M,3, 12
halfrotate_past_7.mp4,halfrotate,past,7,X,P,4, 13
bounce_past_5.mp4,bounce,past,5,X,P,4, 14
vibrate_past_4.mp4,vibrate,past,4,X,P,4, 15
stopstart_past_6.mp4,stopstart,past,6,X,P,4, 16
rotate_onto_8.mp4,rotate,onto,8,W,A,5, 17
rock_to_8.mp4,rock,to,8,W,A,5, 18
sine_tofar_8.mp4,sine,tofar,8,W,A,5, 19
wheelie_circle_8.mp4,wheelie,circle,8,W,A,5, 20
halfrotate_behind_6.mp4,halfrotate,behind,6,X,D,6, 21
stopstart_past_7.mp4,stopstart,past,7,X,D,6, 22
bounce_under_4.mp4,bounce,under,4,X,D,6, 23
vibrate_underfar_5.mp4,vibrate,underfar,5,X,D,6, 24
sine_to_2.mp4,sine,to,2,W,D,7, 25
wheelie_tofar_1.mp4,wheelie,tofar,1,W,D,7, 26
rotate_circle_3.mp4,rotate,circle,3,W,D,7, 27
rock_onto_8.mp4,rock,onto,8,W,D,7, 28
bounce_behind_5.mp4,bounce,behind,5,X,A,8, 29
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,A,8, 30
vibrate_past_5.mp4,vibrate,past,5,X,A,8, 31
stopstart_under_5.mp4,stopstart,under,5,X,A,8, 32
rotate_to_1.mp4,rotate,to,1,W,P,9, 33
wheelie_to_2.mp4,wheelie,to,2,W,P,9, 34
rock_to_3.mp4,rock,to,3,W,P,9, 35
sine_to_8.mp4,sine,to,8,W,P,9, 36
halfrotate_under_6.mp4,halfrotate,under,6,X,M,10, 37
halfrotate_underfar_4.mp4,halfrotate,underfar,4,X,M,10, 38
halfrotate_past_5.mp4,halfrotate,past,5,X,M,10, 39
halfrotate_behind_7.mp4,halfrotate,behind,7,X,M,10, 40
rock_tofar_3.mp4,rock,tofar,3,W,S,11, 41
rock_tofar_3.mp4,rock,tofar,3,W,S,11, 42
rock_tofar_3.mp4,rock,tofar,3,W,S,11, 43
rock_tofar_3.mp4,rock,tofar,3,W,S,11, 44
none_control8_4.mp4,none,control8,4,Z,C,12, 45
none_control7_7.mp4,none,control7,7,Z,C,12, 46
none_control5_5.mp4,none,control5,5,Z,C,12, 47
none_control6_6.mp4,none,control6,6,Z,C,12, 48
