trial_type,measured_onset,perfect_onset,trialnum
fix,3422.489363,3431.989363, 
realTrial,3444.025765,3438.489363, 1
realTrial,3445.299507,3444.989363, 2
realTrial,3451.622398,3451.489363, 3
realTrial,3458.126533,3457.989363, 4
realTrial,3464.624458,3464.489363, 5
realTrial,3471.124904,3470.989363, 6
realTrial,3477.625214,3477.489363, 7
realTrial,3484.122275,3483.989363, 8
realTrial,3490.618968,3490.489363, 9
realTrial,3497.124574,3496.989363, 10
realTrial,3503.626267,3503.489363, 11
realTrial,3510.117409,3509.989363, 12
realTrial,3516.621060,3516.489363, 13
realTrial,3523.116896,3522.989363, 14
realTrial,3529.617187,3529.489363, 15
realTrial,3536.118363,3535.989363, 16
realTrial,3542.624763,3542.489363, 17
realTrial,3549.125046,3548.989363, 18
realTrial,3555.626229,3555.489363, 19
realTrial,3562.122302,3561.989363, 20
realTrial,3568.622461,3568.489363, 21
realTrial,3575.126096,3574.989363, 22
realTrial,3581.625065,3581.489363, 23
realTrial,3588.119942,3587.989363, 24
fix,3594.489849,3594.489363, 
realTrial,3610.702501,3610.489363, 25
realTrial,3617.135370,3616.989363, 26
realTrial,3623.621204,3623.489363, 27
realTrial,3630.121519,3629.989363, 28
realTrial,3636.623557,3636.489363, 29
realTrial,3643.124513,3642.989363, 30
realTrial,3649.621341,3649.489363, 31
realTrial,3656.126025,3655.989363, 32
realTrial,3662.622649,3662.489363, 33
realTrial,3669.118248,3668.989363, 34
realTrial,3675.617248,3675.489363, 35
realTrial,3682.117360,3681.989363, 36
realTrial,3688.622621,3688.489363, 37
realTrial,3695.121733,3694.989363, 38
realTrial,3701.620761,3701.489363, 39
realTrial,3708.120748,3707.989363, 40
realTrial,3714.625077,3714.489363, 41
realTrial,3721.125122,3720.989363, 42
realTrial,3727.625811,3727.489363, 43
realTrial,3734.125448,3733.989363, 44
realTrial,3740.622949,3740.489363, 45
realTrial,3747.122194,3746.989363, 46
realTrial,3753.619935,3753.489363, 47
realTrial,3760.125408,3759.989363, 48
fix,3766.489728,3766.489363, 
