Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161114d_3T1_redo,2,C,13,0,0.000990974999695027,2,2.00304525200045,Patient,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Patient_active_13.jpg
2,FED_20161114d_3T1_redo,2,C,44,2,2.00475579100021,2,1.99819951999962,Patient,0,active,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_44.jpg,Patient_active_44.jpg
3,FED_20161114d_3T1_redo,2,C,26,4,4.00350513400008,2,1.99961891699968,Agent,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Agent_passive_26.jpg
,FED_20161114d_3T1_redo,2,C,NA,6,6.00367589799953,2,1.99889079200057,0,NA,,NA,NA,NA,NA,NA,,
4,FED_20161114d_3T1_redo,2,C,59,8,8.00318823599991,2,1.99987934000001,Patient,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Patient_passive_59.jpg
5,FED_20161114d_3T1_redo,2,C,36,10,10.0036228649997,2,1.99891668700002,Patient,1,passive,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_36.jpg,Patient_passive_36.jpg
,FED_20161114d_3T1_redo,2,C,NA,12,12.0031189800002,4,3.99934426999971,0,NA,,NA,NA,NA,NA,NA,,
6,FED_20161114d_3T1_redo,2,C,37,16,16.0030176009996,2,2.00045323800077,Agent,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Agent_active_37.jpg
7,FED_20161114d_3T1_redo,2,C,32,18,18.0040711199999,2,1.99854570299976,Patient,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Patient_passive_32.jpg
,FED_20161114d_3T1_redo,2,C,NA,20,20.0034519709998,2,2.0004779560004,0,NA,,NA,NA,NA,NA,NA,,
8,FED_20161114d_3T1_redo,2,C,45,22,22.0047535619997,2,1.99833214400041,Patient,1,passive,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_45.jpg,Patient_passive_45.jpg
9,FED_20161114d_3T1_redo,2,C,43,24,24.0036465849998,2,1.99876876200051,Patient,0,active,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square,Base_active_43.jpg,Patient_active_43.jpg
10,FED_20161114d_3T1_redo,2,C,35,26,26.0030294380003,2,1.99962905999928,Patient,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Patient_active_35.jpg
11,FED_20161114d_3T1_redo,2,C,20,28,28.0033252739995,2,2.00052980000055,Patient,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Patient_passive_20.jpg
12,FED_20161114d_3T1_redo,2,C,48,30,30.0044171039999,2,1.99738205199992,Agent,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Agent_active_48.jpg
13,FED_20161114d_3T1_redo,2,C,39,32,32.002498115,2,1.99923014100023,Agent,0,active,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_39.jpg,Agent_active_39.jpg
,FED_20161114d_3T1_redo,2,C,NA,34,34.0023768419996,2,2.00111234700034,0,NA,,NA,NA,NA,NA,NA,,
14,FED_20161114d_3T1_redo,2,C,25,36,36.0041444339995,2,1.9976268270002,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg
,FED_20161114d_3T1_redo,2,C,NA,38,38.0025583300003,2,1.99963287299943,0,NA,,NA,NA,NA,NA,NA,,
15,FED_20161114d_3T1_redo,2,C,27,40,40.0028733700001,2,2.00066956199953,Agent,1,passive,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_27.jpg,Agent_passive_27.jpg
16,FED_20161114d_3T1_redo,2,C,53,42,42.0042745109995,2,1.99803980400065,Agent,1,passive,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_53.jpg,Agent_passive_53.jpg
,FED_20161114d_3T1_redo,2,C,NA,44,44.0031046969998,2,1.99907182900006,0,NA,,NA,NA,NA,NA,NA,,
17,FED_20161114d_3T1_redo,2,C,55,46,46.0032803160002,2,2.00063219299955,Agent,1,passive,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_55.jpg,Agent_passive_55.jpg
18,FED_20161114d_3T1_redo,2,C,13,48,48.0044903830003,2,1.99730865899983,Agent,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Agent_active_13.jpg
,FED_20161114d_3T1_redo,2,C,NA,50,50.0024523940001,4,3.99982871500015,0,NA,,NA,NA,NA,NA,NA,,
19,FED_20161114d_3T1_redo,2,C,37,54,54.0030100699996,2,1.99901699200018,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg
20,FED_20161114d_3T1_redo,2,C,21,56,56.002655241,2,2.00104412899964,Patient,1,passive,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_21.jpg,Patient_passive_21.jpg
21,FED_20161114d_3T1_redo,2,C,28,58,58.0042880689998,2,1.99820448999981,Patient,0,active,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_28.jpg,Patient_active_28.jpg
22,FED_20161114d_3T1_redo,2,C,18,60,60.0030752289995,2,1.99911292300021,Agent,0,active,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_18.jpg,Agent_active_18.jpg
23,FED_20161114d_3T1_redo,2,C,17,62,62.0029321479997,2,1.99946063100015,Agent,0,active,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star,Base_active_17.jpg,Agent_active_17.jpg
,FED_20161114d_3T1_redo,2,C,NA,64,64.0032241420004,2,2.00012331299968,0,NA,,NA,NA,NA,NA,NA,,
24,FED_20161114d_3T1_redo,2,C,54,66,66.003950886,2,1.99791599400032,Agent,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Agent_passive_54.jpg
25,FED_20161114d_3T1_redo,2,C,23,68,68.0024263619998,2,2.00214314999994,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg
26,FED_20161114d_3T1_redo,2,C,58,70,70.0054015349997,2,1.99684216100013,Patient,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Patient_passive_58.jpg
27,FED_20161114d_3T1_redo,2,C,56,72,72.0028024630001,2,2.00084091600002,Agent,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Agent_active_56.jpg
,FED_20161114d_3T1_redo,2,C,NA,74,74.0042454229997,2,1.99854881200008,0,NA,,NA,NA,NA,NA,NA,,
28,FED_20161114d_3T1_redo,2,C,1,76,76.0034295939995,2,1.9997440470006,Patient,0,active,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_1.jpg,Patient_active_1.jpg
29,FED_20161114d_3T1_redo,2,C,19,78,78.0040485729996,2,1.99910287600051,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg
30,FED_20161114d_3T1_redo,2,C,47,80,80.0038966700004,2,1.99910446899958,Agent,0,active,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_47.jpg,Agent_active_47.jpg
,FED_20161114d_3T1_redo,2,C,NA,82,82.0037676000002,2,1.99796806399991,0,NA,,NA,NA,NA,NA,NA,,
31,FED_20161114d_3T1_redo,2,C,41,84,84.0023463199996,2,1.99959360699995,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg
32,FED_20161114d_3T1_redo,2,C,20,86,86.0024913320003,2,2.00006393999956,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg
33,FED_20161114d_3T1_redo,2,C,48,88,88.0031225450002,2,1.99887023099927,Patient,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Patient_active_48.jpg
,FED_20161114d_3T1_redo,2,C,NA,90,90.0025580780002,4,3.99971510999967,0,NA,,NA,NA,NA,NA,NA,,
34,FED_20161114d_3T1_redo,2,C,6,94,94.0028632329995,2,2.00010113999997,Agent,1,passive,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_6.jpg,Agent_passive_6.jpg
,FED_20161114d_3T1_redo,2,C,NA,96,96.0035178990001,2,1.99911141199937,0,NA,,NA,NA,NA,NA,NA,,
35,FED_20161114d_3T1_redo,2,C,30,98,98.0032122749999,2,1.99938309400022,Patient,0,active,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_30.jpg,Patient_active_30.jpg
36,FED_20161114d_3T1_redo,2,C,24,100,100.003158918,2,1.99916302099973,Patient,0,active,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_24.jpg,Patient_active_24.jpg
37,FED_20161114d_3T1_redo,2,C,29,102,102.00286153,2,2.00033972500023,Agent,1,passive,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_29.jpg,Agent_passive_29.jpg
,FED_20161114d_3T1_redo,2,C,NA,104,104.003821129,6,5.99890641399998,0,NA,,NA,NA,NA,NA,NA,,
38,FED_20161114d_3T1_redo,2,C,32,110,110.00332555,2,1.99916667499929,Agent,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Agent_passive_32.jpg
