file,manner,path,agent,itemset,blocktype,blocknum, trialnum
none_control1_8.mp4,none,control1,8,Y,C,1, 1
none_control3_2.mp4,none,control3,2,Y,C,1, 2
none_control4_1.mp4,none,control4,1,Y,C,1, 3
none_control2_3.mp4,none,control2,3,Y,C,1, 4
vibrate_underfar_5.mp4,vibrate,underfar,5,X,S,2, 5
vibrate_underfar_5.mp4,vibrate,underfar,5,X,S,2, 6
vibrate_underfar_5.mp4,vibrate,underfar,5,X,S,2, 7
vibrate_underfar_5.mp4,vibrate,underfar,5,X,S,2, 8
rock_to_3.mp4,rock,to,3,W,M,3, 9
rock_tofar_1.mp4,rock,tofar,1,W,M,3, 10
rock_circle_2.mp4,rock,circle,2,W,M,3, 11
rock_onto_8.mp4,rock,onto,8,W,M,3, 12
halfrotate_past_4.mp4,halfrotate,past,4,X,P,4, 13
bounce_past_5.mp4,bounce,past,5,X,P,4, 14
vibrate_past_6.mp4,vibrate,past,6,X,P,4, 15
stopstart_past_7.mp4,stopstart,past,7,X,P,4, 16
rock_circle_3.mp4,rock,circle,3,W,A,5, 17
sine_to_3.mp4,sine,to,3,W,A,5, 18
wheelie_tofar_3.mp4,wheelie,tofar,3,W,A,5, 19
rotate_onto_3.mp4,rotate,onto,3,W,A,5, 20
stopstart_under_5.mp4,stopstart,under,5,X,D,6, 21
bounce_behind_4.mp4,bounce,behind,4,X,D,6, 22
vibrate_past_7.mp4,vibrate,past,7,X,D,6, 23
halfrotate_underfar_6.mp4,halfrotate,underfar,6,X,D,6, 24
wheelie_tofar_8.mp4,wheelie,tofar,8,W,D,7, 25
sine_circle_1.mp4,sine,circle,1,W,D,7, 26
rotate_to_2.mp4,rotate,to,2,W,D,7, 27
rock_onto_3.mp4,rock,onto,3,W,D,7, 28
halfrotate_under_4.mp4,halfrotate,under,4,X,A,8, 29
stopstart_behind_4.mp4,stopstart,behind,4,X,A,8, 30
bounce_underfar_4.mp4,bounce,underfar,4,X,A,8, 31
vibrate_past_4.mp4,vibrate,past,4,X,A,8, 32
wheelie_onto_8.mp4,wheelie,onto,8,W,P,9, 33
rotate_onto_1.mp4,rotate,onto,1,W,P,9, 34
rock_onto_2.mp4,rock,onto,2,W,P,9, 35
sine_onto_3.mp4,sine,onto,3,W,P,9, 36
bounce_behind_5.mp4,bounce,behind,5,X,M,10, 37
bounce_past_4.mp4,bounce,past,4,X,M,10, 38
bounce_under_6.mp4,bounce,under,6,X,M,10, 39
bounce_underfar_7.mp4,bounce,underfar,7,X,M,10, 40
sine_to_8.mp4,sine,to,8,W,S,11, 41
sine_to_8.mp4,sine,to,8,W,S,11, 42
sine_to_8.mp4,sine,to,8,W,S,11, 43
sine_to_8.mp4,sine,to,8,W,S,11, 44
none_control5_5.mp4,none,control5,5,Z,C,12, 45
none_control6_4.mp4,none,control6,4,Z,C,12, 46
none_control7_6.mp4,none,control7,6,Z,C,12, 47
none_control8_7.mp4,none,control8,7,Z,C,12, 48
