trial_type,measured_onset,perfect_onset,trialnum
fix,25761.387294,25770.887294, 
realTrial,25777.898337,25777.387294, 1
realTrial,25784.135698,25783.887294, 2
realTrial,25790.524413,25790.387294, 3
realTrial,25797.021401,25796.887294, 4
realTrial,25803.518363,25803.387294, 5
realTrial,25810.024543,25809.887294, 6
realTrial,25816.516712,25816.387294, 7
realTrial,25823.020178,25822.887294, 8
realTrial,25829.524606,25829.387294, 9
realTrial,25836.017095,25835.887294, 10
realTrial,25842.516825,25842.387294, 11
realTrial,25849.017053,25848.887294, 12
realTrial,25855.524678,25855.387294, 13
realTrial,25862.018263,25861.887294, 14
realTrial,25868.516603,25868.387294, 15
realTrial,25875.023823,25874.887294, 16
realTrial,25881.524557,25881.387294, 17
realTrial,25888.017373,25887.887294, 18
realTrial,25894.517192,25894.387294, 19
realTrial,25901.026311,25900.887294, 20
realTrial,25907.519222,25907.387294, 21
realTrial,25914.025347,25913.887294, 22
realTrial,25920.516419,25920.387294, 23
realTrial,25927.021657,25926.887294, 24
fix,25933.387445,25933.387294, 
realTrial,25949.597989,25949.387294, 25
realTrial,25956.036156,25955.887294, 26
realTrial,25962.519790,25962.387294, 27
realTrial,25969.021207,25968.887294, 28
realTrial,25975.518345,25975.387294, 29
realTrial,25982.017174,25981.887294, 30
realTrial,25988.517382,25988.387294, 31
realTrial,25995.016188,25994.887294, 32
realTrial,26001.521136,26001.387294, 33
realTrial,26008.024212,26007.887294, 34
realTrial,26014.517050,26014.387294, 35
realTrial,26021.026186,26020.887294, 36
realTrial,26027.521331,26027.387294, 37
realTrial,26034.016443,26033.887294, 38
realTrial,26040.516478,26040.387294, 39
realTrial,26047.016277,26046.887294, 40
realTrial,26053.522591,26053.387294, 41
realTrial,26060.017062,26059.887294, 42
realTrial,26066.523928,26066.387294, 43
realTrial,26073.017430,26072.887294, 44
realTrial,26079.517260,26079.387294, 45
realTrial,26086.016722,26085.887294, 46
realTrial,26092.516849,26092.387294, 47
realTrial,26099.016136,26098.887294, 48
fix,26105.387644,26105.387294, 
