trial_type,measured_onset,perfect_onset,trialnum
fix,12029.371034,12038.871034, 
realTrial,12051.046362,12045.371034, 1
realTrial,12052.196975,12051.871034, 2
realTrial,12058.519665,12058.371034, 3
realTrial,12065.008496,12064.871034, 4
realTrial,12071.506928,12071.371034, 5
realTrial,12077.999533,12077.871034, 6
realTrial,12084.499572,12084.371034, 7
realTrial,12090.999601,12090.871034, 8
realTrial,12097.504548,12097.371034, 9
realTrial,12104.003866,12103.871034, 10
realTrial,12110.503985,12110.371034, 11
realTrial,12117.003508,12116.871034, 12
realTrial,12123.505328,12123.371034, 13
realTrial,12130.008537,12129.871034, 14
realTrial,12136.503273,12136.371034, 15
realTrial,12143.007362,12142.871034, 16
realTrial,12149.506981,12149.371034, 17
realTrial,12156.003861,12155.871034, 18
realTrial,12162.507699,12162.371034, 19
realTrial,12169.008169,12168.871034, 20
realTrial,12175.503080,12175.371034, 21
realTrial,12182.004210,12181.871034, 22
realTrial,12188.503933,12188.371034, 23
realTrial,12195.004064,12194.871034, 24
fix,12201.371711,12201.371034, 
realTrial,12217.602598,12217.371034, 25
realTrial,12224.020517,12223.871034, 26
realTrial,12230.507001,12230.371034, 27
realTrial,12237.007544,12236.871034, 28
realTrial,12243.508974,12243.371034, 29
realTrial,12250.004242,12249.871034, 30
realTrial,12256.508251,12256.371034, 31
realTrial,12263.011257,12262.871034, 32
realTrial,12269.505640,12269.371034, 33
realTrial,12276.004029,12275.871034, 34
realTrial,12282.503443,12282.371034, 35
realTrial,12289.009577,12288.871034, 36
realTrial,12295.505449,12295.371034, 37
realTrial,12302.005478,12301.871034, 38
realTrial,12308.503766,12308.371034, 39
realTrial,12315.003908,12314.871034, 40
realTrial,12321.505941,12321.371034, 41
realTrial,12328.000801,12327.871034, 42
realTrial,12334.499865,12334.371034, 43
realTrial,12341.000718,12340.871034, 44
realTrial,12347.507037,12347.371034, 45
realTrial,12354.003842,12353.871034, 46
realTrial,12360.506813,12360.371034, 47
realTrial,12367.003533,12366.871034, 48
fix,12373.371475,12373.371034, 
