file,manner,path,agent,itemset,blocktype,blocknum, trialnum
none_control6_6.mp4,none,control6,6,Z,C,1, 1
none_control8_7.mp4,none,control8,7,Z,C,1, 2
none_control5_4.mp4,none,control5,4,Z,C,1, 3
none_control7_5.mp4,none,control7,5,Z,C,1, 4
rock_circle_2.mp4,rock,circle,2,W,S,2, 5
rock_circle_2.mp4,rock,circle,2,W,S,2, 6
rock_circle_2.mp4,rock,circle,2,W,S,2, 7
rock_circle_2.mp4,rock,circle,2,W,S,2, 8
bounce_under_6.mp4,bounce,under,6,X,M,3, 9
bounce_past_4.mp4,bounce,past,4,X,M,3, 10
bounce_behind_5.mp4,bounce,behind,5,X,M,3, 11
bounce_underfar_7.mp4,bounce,underfar,7,X,M,3, 12
rock_tofar_8.mp4,rock,tofar,8,W,P,4, 13
wheelie_tofar_1.mp4,wheelie,tofar,1,W,P,4, 14
rotate_tofar_2.mp4,rotate,tofar,2,W,P,4, 15
sine_tofar_3.mp4,sine,tofar,3,W,P,4, 16
bounce_underfar_6.mp4,bounce,underfar,6,X,A,5, 17
vibrate_past_6.mp4,vibrate,past,6,X,A,5, 18
stopstart_under_6.mp4,stopstart,under,6,X,A,5, 19
halfrotate_behind_6.mp4,halfrotate,behind,6,X,A,5, 20
wheelie_onto_1.mp4,wheelie,onto,1,W,D,6, 21
rock_to_2.mp4,rock,to,2,W,D,6, 22
sine_tofar_8.mp4,sine,tofar,8,W,D,6, 23
rotate_circle_3.mp4,rotate,circle,3,W,D,6, 24
bounce_under_7.mp4,bounce,under,7,X,D,7, 25
vibrate_past_4.mp4,vibrate,past,4,X,D,7, 26
stopstart_behind_6.mp4,stopstart,behind,6,X,D,7, 27
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,D,7, 28
sine_onto_8.mp4,sine,onto,8,W,A,8, 29
rock_to_8.mp4,rock,to,8,W,A,8, 30
wheelie_tofar_8.mp4,wheelie,tofar,8,W,A,8, 31
rotate_circle_8.mp4,rotate,circle,8,W,A,8, 32
bounce_behind_6.mp4,bounce,behind,6,X,P,9, 33
vibrate_behind_4.mp4,vibrate,behind,4,X,P,9, 34
stopstart_behind_5.mp4,stopstart,behind,5,X,P,9, 35
halfrotate_behind_7.mp4,halfrotate,behind,7,X,P,9, 36
rotate_tofar_3.mp4,rotate,tofar,3,W,M,10, 37
rotate_circle_1.mp4,rotate,circle,1,W,M,10, 38
rotate_onto_2.mp4,rotate,onto,2,W,M,10, 39
rotate_to_8.mp4,rotate,to,8,W,M,10, 40
stopstart_past_5.mp4,stopstart,past,5,X,S,11, 41
stopstart_past_5.mp4,stopstart,past,5,X,S,11, 42
stopstart_past_5.mp4,stopstart,past,5,X,S,11, 43
stopstart_past_5.mp4,stopstart,past,5,X,S,11, 44
none_control4_1.mp4,none,control4,1,Y,C,12, 45
none_control2_2.mp4,none,control2,2,Y,C,12, 46
none_control3_3.mp4,none,control3,3,Y,C,12, 47
none_control1_8.mp4,none,control1,8,Y,C,12, 48
