trial_type,measured_onset,perfect_onset,trialnum
fix,29118.789010,29128.289010, 
realTrial,29138.079876,29134.789010, 1
realTrial,29141.576186,29141.289010, 2
realTrial,29147.918672,29147.789010, 3
realTrial,29154.418487,29154.289010, 4
realTrial,29160.919010,29160.789010, 5
realTrial,29167.418546,29167.289010, 6
realTrial,29173.918900,29173.789010, 7
realTrial,29180.418211,29180.289010, 8
realTrial,29186.917288,29186.789010, 9
realTrial,29193.418713,29193.289010, 10
realTrial,29199.918727,29199.789010, 11
realTrial,29206.417991,29206.289010, 12
realTrial,29212.918744,29212.789010, 13
realTrial,29219.417785,29219.289010, 14
realTrial,29225.918100,29225.789010, 15
realTrial,29232.417949,29232.289010, 16
realTrial,29238.919356,29238.789010, 17
realTrial,29245.418884,29245.289010, 18
realTrial,29251.918271,29251.789010, 19
realTrial,29258.417820,29258.289010, 20
realTrial,29264.917820,29264.789010, 21
realTrial,29271.417720,29271.289010, 22
realTrial,29277.918635,29277.789010, 23
realTrial,29284.419564,29284.289010, 24
fix,29290.789665,29290.789010, 
realTrial,29306.996432,29306.789010, 25
realTrial,29313.433105,29313.289010, 26
realTrial,29319.918220,29319.789010, 27
realTrial,29326.417824,29326.289010, 28
realTrial,29332.919309,29332.789010, 29
realTrial,29339.417746,29339.289010, 30
realTrial,29345.919785,29345.789010, 31
realTrial,29352.418159,29352.289010, 32
realTrial,29358.918970,29358.789010, 33
realTrial,29365.418505,29365.289010, 34
realTrial,29371.918518,29371.789010, 35
realTrial,29378.417801,29378.289010, 36
realTrial,29384.920802,29384.789010, 37
realTrial,29391.417959,29391.289010, 38
realTrial,29397.917777,29397.789010, 39
realTrial,29404.417724,29404.289010, 40
realTrial,29410.919676,29410.789010, 41
realTrial,29417.417709,29417.289010, 42
realTrial,29423.918132,29423.789010, 43
realTrial,29430.418110,29430.289010, 44
realTrial,29436.921363,29436.789010, 45
realTrial,29443.416912,29443.289010, 46
realTrial,29449.918298,29449.789010, 47
realTrial,29456.418312,29456.289010, 48
fix,29462.789419,29462.789010, 
